File	Author	Title
sources/dlt000555/dlt000555.xml	Anonyme	De bello ciuili inter Caesarem et Pompeium
sources/dlt000227/dlt000227.xml	Fulgentius (Fabius Planciades Fulgentius)	Mythologiarum libri
sources/dlt000318/dlt000318.xml	Iulius Severianus	Praecepta artis rhetoricae
sources/dlt000029/dlt000029.xml	Sextus Aurelius Victor	Liber de Caesaribus
sources/dlt000310/dlt000310.xml	Honorius	Cosmographia
sources/dlt000033/dlt000033.xml	Ausonius	Gratiarum Actio
sources/dlt000493/dlt000493.xml	Anonyme	De sepulchris
sources/dlt000090/dlt000090.xml	Cledonius	Ars grammatica
sources/dlt000397/dlt000397.xml	Anonyme	Panegyricus dictus Constantino filio Constantii (Treueris a. 313 p. Chr.)
sources/dlt000052/dlt000052.xml	Boethius (Anicius Manlius Seuerinus Boethius)	In Porphyrii Isagogen commentarii prima editio
sources/dlt000433/dlt000433.xml	Anonyme	Rufinus, 
sources/dlt000022/dlt000022.xml	Arusianus Messius 	Exempla elocutionum
sources/dlt000368/dlt000368.xml	Nonius Marcellus	De compendiosa doctrina libri XX
sources/dlt000056/dlt000056.xml	Boethius (Anicius Manlius Seuerinus Boethius)	Introductio ad syllogismos cathegoricus
sources/dlt000164/dlt000164.xml	Emporius Rhetor	De ethopoeia
sources/dlt000395/dlt000395.xml	Mamertinus	Panegyricus dictus Maximiano et Diocletiano (Treueris a. 289 p. Chr.)
sources/dlt000009/dlt000009.xml	Lucius Ampelius	Liber memorialis
sources/dlt000344/dlt000344.xml	Anonyme	Mallius Theodorus de metris
sources/dlt000391/dlt000391.xml	Anonyme	Panegyricus dictus Constantino imperatori (Treueris a. 310 p. Chr.)
sources/dlt000322/dlt000322.xml	Cornelius Labeo	Testimonia et fragmenta (Cornelius Labeo)
sources/dlt000335/dlt000335.xml	Anonymus	Liber de praenominibus
sources/dlt000114/dlt000114.xml	Damigeron	De lapidibus
sources/dlt000405/dlt000405.xml	Anonyme	Peregrinatio Egeriae
sources/dlt000444/dlt000444.xml	Anonyme	Scholia cod. Memmiani in Suetonii Iul. 1-32
